time,ax,ay,az,gx,gy,gz,mx,my,mz
3656.00,-0.63,6.32,-7.87,-0.01,0.02,0.02,0.00,-18.00,-39.00
3669.00,-0.63,6.32,-7.92,-0.01,0.02,0.02,0.00,-18.00,-39.00
3680.00,-0.62,6.32,-7.89,-0.01,0.02,0.02,0.00,-18.00,-39.00
3692.00,-0.62,6.32,-7.89,-0.01,0.02,0.02,0.00,-18.00,-39.00
3703.00,-0.64,6.33,-7.90,-0.01,0.02,0.02,0.00,-18.00,-39.00
3716.00,-0.64,6.33,-7.90,-0.01,0.02,0.02,0.00,-18.00,-39.00
3727.00,-0.65,6.32,-7.93,-0.01,0.02,0.02,0.00,-18.00,-39.00
3739.00,-0.64,6.34,-7.90,-0.01,0.02,0.02,0.00,-18.00,-39.00
3750.00,-0.64,6.34,-7.90,-0.01,0.02,0.02,0.00,-18.00,-39.00
3762.00,-0.64,6.31,-7.91,-0.01,0.02,0.02,0.00,-18.00,-39.00
3775.00,-0.64,6.31,-7.91,-0.01,0.02,0.02,0.00,-18.00,-39.00
3786.00,-0.64,6.33,-7.90,-0.01,0.02,0.02,0.00,-18.00,-39.00
3798.00,-0.64,6.33,-7.90,-0.01,0.02,0.02,0.00,-18.00,-39.00
3810.00,-0.65,6.32,-7.92,-0.01,0.02,0.02,0.00,-18.00,-39.00
3814.00,-0.65,6.32,-7.92,-0.01,0.02,0.02,0.00,-18.00,-39.00
3890.00,-0.65,6.31,-7.91,-0.01,0.02,0.02,0.00,-20.00,-42.00
3969.00,-0.65,6.31,-7.89,-0.01,0.02,0.02,0.00,-18.00,-42.00
4046.00,-0.63,6.31,-7.90,-0.01,0.02,0.02,0.00,-18.00,-42.00
4137.00,-0.62,6.31,-7.91,-0.01,0.02,0.02,0.00,-16.00,-35.00
4149.00,-0.64,6.33,-7.92,-0.01,0.02,0.02,0.00,-16.00,-35.00
4161.00,-0.64,6.33,-7.92,-0.01,0.02,0.02,0.00,-16.00,-35.00
4172.00,-0.64,6.33,-7.92,-0.01,0.02,0.02,0.00,-16.00,-35.00
4185.00,-0.64,6.32,-7.91,-0.01,0.02,0.02,0.00,-16.00,-35.00
4197.00,-0.64,6.32,-7.91,-0.01,0.02,0.02,0.00,-16.00,-35.00
4208.00,-0.63,6.33,-7.89,-0.01,0.02,0.02,0.00,-16.00,-35.00
4220.00,-0.63,6.32,-7.89,-0.01,0.02,0.02,2.00,-20.00,-37.00
4233.00,-0.63,6.32,-7.89,-0.01,0.02,0.02,2.00,-20.00,-37.00
4245.00,-0.62,6.32,-7.90,-0.01,0.02,0.02,2.00,-20.00,-37.00
4257.00,-0.62,6.32,-7.90,-0.01,0.02,0.02,2.00,-20.00,-37.00
4268.00,-0.64,6.32,-7.89,-0.01,0.02,0.02,2.00,-20.00,-37.00
4279.00,-0.63,6.32,-7.90,-0.01,0.02,0.02,2.00,-20.00,-37.00
4292.00,-0.63,6.32,-7.90,-0.01,0.02,0.02,2.00,-20.00,-37.00
4304.00,-0.64,6.31,-7.89,-0.01,0.02,0.02,2.00,-20.00,-37.00
4316.00,-0.64,6.31,-7.89,-0.01,0.02,0.02,2.00,-20.00,-37.00
4327.00,-0.65,6.32,-7.90,-0.01,0.02,0.02,2.00,-20.00,-37.00
4340.00,-0.63,6.31,-7.92,-0.01,0.02,0.02,2.00,-20.00,-37.00
4351.00,-0.63,6.31,-7.92,-0.01,0.02,0.02,2.00,-20.00,-37.00
4363.00,-0.62,6.32,-7.94,-0.01,0.02,0.02,2.00,-20.00,-37.00
4375.00,-0.62,6.32,-7.94,-0.01,0.02,0.02,2.00,-20.00,-37.00
4387.00,-0.64,6.31,-7.91,-0.01,0.02,0.02,2.00,-20.00,-37.00
4399.00,-0.65,6.32,-7.91,-0.01,0.02,0.02,2.00,-20.00,-37.00
4411.00,-0.65,6.32,-7.91,-0.01,0.02,0.02,2.00,-20.00,-37.00
4423.00,-0.63,6.32,-7.89,-0.01,0.02,0.02,2.00,-20.00,-37.00
4436.00,-0.63,6.32,-7.89,-0.01,0.02,0.02,2.00,-20.00,-37.00
4447.00,-0.63,6.31,-7.91,-0.01,0.02,0.02,2.00,-20.00,-37.00
4458.00,-0.63,6.31,-7.91,-0.01,0.02,0.02,2.00,-20.00,-37.00
4469.00,-0.63,6.31,-7.89,-0.01,0.02,0.02,2.00,-20.00,-37.00
4482.00,-0.63,6.31,-7.91,-0.01,0.02,0.02,0.00,-16.00,-39.00
4494.00,-0.63,6.31,-7.91,-0.01,0.02,0.02,0.00,-16.00,-39.00
4505.00,-0.63,6.31,-7.90,-0.01,0.02,0.02,0.00,-16.00,-39.00
4517.00,-0.63,6.31,-7.90,-0.01,0.02,0.02,0.00,-16.00,-39.00
4529.00,-0.64,6.31,-7.91,-0.01,0.02,0.02,0.00,-16.00,-39.00
4542.00,-0.64,6.32,-7.90,-0.01,0.02,0.02,0.00,-16.00,-39.00
4554.00,-0.64,6.32,-7.90,-0.01,0.02,0.02,0.00,-16.00,-39.00
4566.00,-0.65,6.32,-7.90,-0.01,0.02,0.02,0.00,-16.00,-39.00
4577.00,-0.65,6.32,-7.90,-0.01,0.02,0.02,0.00,-16.00,-39.00
4590.00,-0.63,6.33,-7.91,-0.01,0.02,0.02,0.00,-16.00,-39.00
4601.00,-0.64,6.33,-7.92,-0.01,0.02,0.02,0.00,-18.00,-37.00
4613.00,-0.64,6.33,-7.92,-0.01,0.02,0.02,0.00,-18.00,-37.00
